	Precision	Recall	F1
0.5	0.73186815	0.9514286	0.8273292
0.55	0.71648353	0.93142855	0.8099379
0.6000000000000001	0.7010989	0.9114286	0.7925466
0.6500000000000001	0.6615385	0.86	0.7478261
0.7000000000000002	0.5868132	0.76285714	0.66335404
0.7500000000000002	0.44395605	0.57714283	0.50186336
0.8000000000000003	0.24615385	0.32	0.27826086
0.8500000000000003	0.06813187	0.08857143	0.07701863
0.9000000000000004	0.0021978023	0.0028571428	0.002484472
0.9500000000000004	0.0	0.0	0.0
